CNT;TEMP;PRES;resitance
0;8,97;1029,86;3473
1;8,97;1029,73;3471
2;8,98;1029,77;3389
3;8,98;1029,91;3582
4;8,98;1029,77;3806
5;8,98;1029,91;3774
6;9,00;1029,95;3760
7;9,00;1029,95;3481
8;9,00;1029,95;3310
9;9,00;1029,95;3374
10;9,00;1029,68;3504
11;9,02;1029,87;3735
12;9,02;1029,87;3628
13;9,02;1029,87;3659
14;9,02;1029,87;3753
15;9,04;1029,91;3835
16;9,04;1029,91;3834
17;9,04;1030,05;3831
18;9,04;1029,91;3849
19;9,06;1029,96;3840
20;9,06;1030,09;3834
21;9,08;1029,87;3879
22;9,08;1030,00;3886
23;9,08;1029,87;3878
24;9,10;1029,92;3859
25;9,10;1029,92;3842
26;9,11;1029,96;3862
27;9,11;1029,96;3907
28;9,13;1030,01;3883
29;9,13;1029,74;3853
30;9,13;1029,87;3850
31;9,15;1029,92;3849
32;9,15;1029,92;3887
33;9,16;1029,96;3916
34;9,15;1029,92;3921
35;9,16;1029,96;3913
36;9,19;1030,01;3889
37;9,21;1029,92;3883
38;9,21;1029,92;3850
39;9,21;1029,92;3424
40;9,22;1029,83;3406
41;9,22;1029,83;3454
42;9,22;1029,97;3818
43;9,24;1029,74;3888
44;9,24;1029,88;3933
45;9,26;1029,79;3935
46;9,26;1029,79;3921
47;9,27;1029,97;3909
48;9,26;1029,79;3923
49;9,27;1029,83;3638
50;9,30;1029,88;3625
51;9,30;1029,75;3721
52;9,32;1029,79;3726
53;9,34;1029,97;3567
54;9,34;1029,84;3728
55;9,35;1029,88;3841
56;9,35;1029,88;3921
57;9,37;1029,93;3915
58;9,37;1029,93;3915
59;9,37;1029,80;3962
60;9,37;1029,66;3965
61;9,39;1029,98;3967
62;9,39;1029,71;3977
63;9,40;1029,89;3951
64;9,40;1029,89;3967
65;9,40;1029,75;3954
66;9,43;1029,80;3975
67;9,43;1029,80;3938
68;9,45;1029,84;3931
69;9,45;1029,84;3821
70;9,45;1029,84;3491
71;9,46;1029,75;3440
72;9,46;1029,89;3383
73;9,46;1029,89;3664
74;9,48;1029,80;3725
75;9,48;1029,80;3728
76;9,50;1029,85;3703
77;9,50;1029,85;3674
78;9,51;1029,89;3678
79;9,51;1029,89;3719
80;9,53;1029,94;3685
81;9,53;1029,80;3659
82;9,56;1029,98;3653
83;9,56;1029,85;3653
84;9,56;1029,85;3427
85;9,56;1029,85;3410
86;9,57;1029,89;3472
87;9,59;1029,94;3641
88;9,59;1029,94;3651
89;9,59;1029,94;3708
90;9,61;1029,85;3703
91;9,61;1029,72;3763
92;9,63;1029,90;3711
93;9,63;1029,90;3696
94;9,63;1029,76;3774
95;9,64;1029,81;3696
96;9,64;1029,94;3682
97;9,66;1029,85;3527
98;9,66;1029,72;3437
99;9,66;1029,85;3633
100;9,66;1029,85;3725
101;9,69;1029,77;3669
102;9,70;1029,81;3605
103;9,72;1029,86;3487
104;9,72;1029,72;3779
105;9,74;1030,04;3835
106;9,74;1029,90;3615
107;9,74;1029,90;3376
108;9,74;1029,77;3226
109;9,75;1029,81;3593
110;9,75;1029,95;3532
111;9,75;1029,81;3433
112;9,77;1029,99;3539
113;9,77;1029,99;3555
114;9,79;1029,91;3519
115;9,79;1029,77;3520
116;9,79;1029,77;3648
117;9,81;1029,95;3680
118;9,81;1029,95;3760
119;9,83;1029,86;3831
120;9,83;1029,86;3794
121;9,83;1029,86;3727
122;9,85;1029,91;3710
123;9,85;1029,91;3741
124;9,85;1029,77;3742
125;9,86;1029,82;3717
126;9,86;1029,95;3765
127;9,86;1029,95;3735
128;9,86;1029,95;3743
